order_id,customer_id,customer_name,product_category,product_name,product_id,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
35,80-7066506,Charline De Ambrosis,Office Supplies,Binder,105,UPI,7,$35.85 ,6/25/2021 0:06,Czech Republic,Stará Paka,costco.com,46-2000532,Y,
36,50-7854334,Elfie Quittonden,Baby Products,Pacifier,905,UPI,8,$16.36 ,9/30/2021 15:45,Poland,Gorzyce,costco.com,87-4271639,N,Invalid Card Number
37,33-8493521,Shaine Chenery,Entertainment,CD,502,Wallet,8,$120.13 ,2/19/2021 14:27,Brazil,Canutama,ebay.com,01-3563181,Y,
38,39-9749877,Major Kynsey,Electronics,TV,2,Card,4,"$1,428.96 ",5/31/2021 6:53,China,Wangjiaping,amazon.com,33-5848053,Y,
39,68-9054342,Gwyneth Smetoun,Electronics,Cell Phone,5,Internet Banking,5,"$1,856.90 ",10/12/2021 15:31,Indonesia,Cipari Satu,ebay.com,89-3329779,Y,
40,80-4370596,Annamaria Langtry,Outdoor Equipment,Baseball Bat,201,Internet Banking,7,$846.63 ,5/25/2021 1:51,China,Chifeng,ebay.com,31-8790557,Y,
41,40-4875808,Annaliese Tampion,Home Goods,Blankets,702,UPI,9,($642.87),8/19/2021 15:29,Philippines,Topdac,walmart.com,20-6766819,Y,
42,98-9931040,Theadora Cowe,Outdoor Equipment,Watering Can,204,Internet Banking,10,$81.45 ,6/9/2021 22:33,Bosnia and Herzegovina,Milići,walmart.com,42-2107229,Y,
43,56-5027401,Clemence Bothe,Grocery,Gallon of Milk,302,Internet Banking,6,$31.97 ,2/16/2021 18:37,Palestinian Territory,Al Mughayyir,samsclub.com,16-1097533,N,Invalid Card Number
44,76-0362130,Elicia Kettell,Health & Beauty,Toothpaste,804,Wallet,1,$3.75 ,6/21/2021 11:01,Colombia,San José del Guaviare,target.com,27-9265849,Y,
45,38-0019055,Gillan Fairlam,Office Supplies,Binder,105,Wallet,7,$29.32 ,8/7/2021 17:22,India,Sadar Bazar,walmart.com,47-8366619,Y,
46,25-0199722,Roxy Geelan,Outdoor Equipment,Baseball Bat,201,Internet Banking,8,$160.52 ,7/30/2021 22:35,Luxembourg,Leudelange,amazon.com,66-8805768,Y,
47,57-0581268,Bil Spanton,Electronics,TV,2,Card,1,$310.43 ,4/7/2021 6:59,Finland,Vuokatti,target.com,83-6423132,Y,
48,26-9802875,Vinnie Sea,Home Goods,Storage Container,704,UPI,8,$158.78 ,7/22/2021 18:22,Ukraine,Komsomol’s’ke,amazon.com,08-5503328,Y,
49,23-7395691,Jaquenette Tebb,Office Supplies,Ream of Paper,102,UPI,1,$3.45 ,12/27/2021 0:50,Czech Republic,Brniště,walmart.com,53-2860252,Y,
50,61-6574529,Brenn Bendixen,Entertainment,CD,502,Wallet,8,$120.13 ,6/1/2021 2:52,China,Wengtian,alibaba.com,57-5391848,Y,
51,28-7321046,Dennison Goggey,Clothing,Tie,404,UPI,8,$135.77 ,9/9/2021 21:46,China,Heping,alibaba.com,49-3629960,Y,
52,02-2090929,Lanette Scholard,Clothing,Jeans,402,UPI,2,$68.97 ,4/29/2021 8:21,Russia,Kurgan,samsclub.com,69-0281492,Y,
53,03-9738529,Bernadina Wardrope,Entertainment,Dominoes,504,Wallet,10,$65.32 ,2/12/2021 16:58,Madagascar,Fenoarivo Be,costco.com,20-2421820,Y,
54,78-6529790,Lukas Frunks,Entertainment,CD,502,Card,7,$126.56 ,1/8/2021 11:42,Sweden,Örebro,,66-3943496,N,Invalid Billing Address
55,36-5334299,Guthry Bremley,Clothing,Suit Jacket,403,Wallet,3,$210.89 ,10/21/2021 9:13,Portugal,Olhão,walmart.com,19-1996970,Y,
56,90-9862171,Joeann Cullagh,Entertainment,Movie/DVD/BlueRay,501,Card,10,$198.67 ,1/31/2021 22:37,France,Suresnes,ebay.com,69-0423225,N,Insufficient Funds
57,00-4744601,Derward Upjohn,Grocery,Chicken Breast,301,Wallet,5,$26.56 ,11/4/2021 1:13,Poland,Sławatycze,amazon.com,05-7405352,N,Insufficient Funds
58,57-0535701,Leonerd Swain,Electronics,Cell Phone,5,UPI,3,$996.50 ,7/31/2021 9:23,China,Liuqiao,target.com,42-0720262,Y,
59,68-1847530,Cherish Bohlmann,Clothing,Jeans,402,Card,10,$401.36 ,5/19/2021 13:14,Yemen,Ḩabīl al Jabr,amazon.com,82-0344014,Y,
60,85-9789985,Moises Juszkiewicz,Home Goods,Rugs,705,Card,7,$420.87 ,8/30/2021 4:06,China,Mengxi,samsclub.com,15-7332976,Y,
61,06-1307135,Annmarie Jayume,Office Supplies,Folder,104,UPI,6,$18.88 ,3/7/2021 6:26,Pakistan,Mehar,walmart.com,10-1496241,Y,
62,60-9498092,Nehemiah McAirt,Grocery,Eggs,303,Internet Banking,2,$7.10 ,7/29/2021 4:17,Poland,Bachowice,samsclub.com,03-0550767,Y,
63,75-5828391,Whitney Moules,Home Goods,Bath Towels,703,Wallet,4,$49.97 ,1/4/2021 3:46,China,Xiaoshan,target.com,56-7734208,N,Invalid Billing Address
64,23-0282747,Pieter Pulley,Electronics,Cell Phone,5,Card,3,"$1,207.90 ",9/5/2021 14:26,South Korea,Taisen-ri,target.com,10-2628009,Y,
65,33-4868502,Jeffry Benedetti,Home Goods,Rugs,705,Card,3,$186.23 ,11/4/2021 9:34,Brazil,Rio das Pedras,alibaba.com,,Y,
66,56-0453698,Hobard Blue,Home Goods,Candles,701,Card,6,$32.32 ,4/11/2021 11:16,Japan,Kakegawa,alibaba.com,49-6832419,Y,
67,05-9753424,Reid Bridgestock,Office Supplies,Binder,105,Wallet,2,$8.98 ,10/22/2021 9:05,Poland,Kołbiel,ebay.com,29-6230154,Y,
68,29-2540944,Abagail Hebblethwaite,Office Supplies,Folder,104,Card,2,$6.32 ,10/31/2021 16:15,China,Mudanjiang,samsclub.com,33-1048409,Y,
69,68-2675225,Cathy Sandifer,Office Supplies,Stapler,103,Wallet,10,$87.56 ,12/28/2021 7:48,Philippines,Tumauini,amazon.com,14-3267158,Y,
70,23-6850147,Rance Tomasz,Office Supplies,Stapler,103,Card,5,$43.25 ,7/29/2021 5:14,Bulgaria,Perushtitsa,alibaba.com,77-0432734,Y,
71,09-3651951,Haskel Ivatts,Grocery,Eggs,303,UPI,10,$34.57 ,11/28/2021 14:08,Brazil,Formiga,walmart.com,63-2405147,Y,
72,72-9559696,Elwood Harron,Baby Products,Baby food,801,UPI,3,$15.21 ,2/2/2021 11:59,Guatemala,San Andrés,costco.com,90-7470418,Y,
73,97-0634465,Kippie Bridgens,Health & Beauty,Deodorant,803,Internet Banking,5,$19.78 ,6/9/2021 19:17,Philippines,Paraiso,alibaba.com,64-7248921,Y,
74,01-5350999,Tiffie Pally,Automotive,Floor Mat,605,Internet Banking,6,$104.86 ,8/17/2021 14:35,Colombia,Caldono,costco.com,77-1861071,N,Insufficient Funds
75,22-5246013,Egan Sidebottom,Clothing,Tie,404,Wallet,10,$210.50 ,2/28/2021 13:53,France,Chennevières-sur-Marne,alibaba.com,40-5644149,Y,
76,01-8970909,Jeffrey Gyurko,Electronics,Tablet,4,UPI,7,"$2,155.23 ",11/6/2021 11:03,Brazil,Timbó,walmart.com,42-2818278,Y,
77,84-8742361,Sindee Medgwick,Electronics,Desktop,3,UPI,2,"$2,104.69 ",11/8/2021 12:28,Russia,Uglyanets,target.com,77-6045674,Y,
78,33-2119625,Caryl Felce,Entertainment,Video Game,503,Card,4,$89.42 ,8/27/2021 5:33,Germany,Dillenburg,samsclub.com,74-2233071,Y,
79,24-9417924,Carlos Sloyan,Outdoor Equipment,Gardening Shovel,202,Wallet,3,($63.46),7/14/2021 16:08,Brazil,Itupiranga,alibaba.com,58-3244890,Y,
80,42-6028428,Mariana Fish,Home Goods,Blankets,702,Internet Banking,7,$143.30 ,3/24/2021 22:55,Poland,Głuchołazy,samsclub.com,97-7516170,Y,
81,13-6881298,Susette Ruzic,Health & Beauty,Toothpaste,804,Card,9,$31.50 ,8/19/2021 12:06,Bulgaria,Lyubimets,ebay.com,19-1807329,Y,
82,71-9693265,Josh McGurn,Office Supplies,Binder,105,Card,7,$26.75 ,1/29/2021 7:26,Czech Republic,Rudolfov,alibaba.com,11-4289775,N,Invalid Expiration Date
83,34-2249219,Jeanelle Whightman,Clothing,Tie,404,Wallet,4,$98.45 ,3/31/2021 8:02,China,Caikouji,amazon.com,06-2016357,N,Invalid Card Number
84,83-1288936,Perren Flacke,Clothing,Shoes,405,Wallet,10,$456.25 ,8/16/2021 8:17,Canada,Richibucto,ebay.com,53-0557043,Y,
85,10-7619598,Siffre Pluck,Automotive,Antifreeze,604,Internet Banking,3,$19.21 ,11/25/2021 21:27,Brazil,Espera Feliz,target.com,45-1483129,N,Invalid CVV
86,26-2140390,Seline Lockey,Health & Beauty,Daily Multi-Vitamins,805,Internet Banking,10,$161.33 ,6/24/2021 21:09,Indonesia,Cihambali,walmart.com,99-2017741,N,Invalid CVV
87,43-0143938,Birdie Shoreson,Office Supplies,Ream of Paper,102,Wallet,8,$17.89 ,1/8/2021 7:25,,Lāchi,walmart.com,60-0291301,Y,
88,48-6681416,Vasili Lawles,Automotive,Floor Mat,605,Wallet,5,$130.12 ,1/14/2021 2:04,Brazil,Cajati,amazon.com,68-6868765,N,Insufficient Funds
89,16-3349186,Ibrahim Wyllie,Automotive,Power Steering Fluid,603,UPI,2,$14.41 ,11/16/2021 3:24,Brazil,Três Rios,target.com,17-7569236,N,Invalid Billing Address
90,57-9819702,Lacee Jorn,Electronics,Cell Phone,5,UPI,6,"$1,856.05 ",3/24/2021 17:49,Iran,Semīrom,samsclub.com,32-0848194,Y,
91,11-4279121,Shalom Yukhtin,Outdoor Equipment,Baseball Bat,201,UPI,1,$42.56 ,3/28/2021 10:59,Czech Republic,Havlíčkův Brod,amazon.com,53-2506582,Y,
92,23-5254464,Sharon Ends,Electronics,Laptop,1,UPI,6,"$2,471.77 ",12/21/2021 2:42,Philippines,Talisay,ebay.com,00-7839316,Y,
93,36-5709009,Manya Nathon,Clothing,Jeans,402,Card,8,$245.99 ,9/5/2021 14:50,Czech Republic,Černý Most,samsclub.com,04-4456512,Y,
94,58-9780938,,Office Supplies,Pen,101,Internet Banking,8,$17.44 ,10/14/2021 7:19,Finland,Kempele,costco.com,86-9223719,N,Invalid CVV
95,53-0361821,Galven Pakenham,Baby Products,Baby Wipes,904,Internet Banking,8,$84.33 ,2/27/2021 4:32,Indonesia,Sambogunung,samsclub.com,72-6852248,Y,
96,81-2715771,Saundra Cohan,Office Supplies,Ream of Paper,102,Wallet,4,$9.54 ,1/2/2021 23:00,Sweden,Götene,samsclub.com,49-8421943,Y,
97,36-9767523,Theodore Clappson,Home Goods,Rugs,705,Card,4,$267.56 ,1/29/2021 4:12,Palestinian Territory,Qaffīn,alibaba.com,36-9302535,N,Invalid Card Number
98,17-9163880,Faydra Kaufman,Baby Products,Baby food,604,UPI,9,$43.21 ,9/29/2021 15:17,Indonesia,Bambor,walmart.com,57-4417491,Y,
99,88-9842792,Libbie Livezley,Clothing,Suit Jacket,403,Wallet,2,$151.33 ,10/28/2021 1:52,China,Hexi,amazon.com,35-7758179,Y,
100,95-0009870,Jedidiah Broggelli,Health & Beauty,Daily Multi-Vitamins,805,Internet Banking,8,$84.33 ,10/31/2021 14:40,Indonesia,Karangduren Dua,samsclub.com,95-9540836,Y,
101,08-5246568,Odette Gheraldi,Outdoor Equipment,Watering Can,204,Internet Banking,2,$290.22 ,9/8/2021 14:11,United States,Dallas,amazon.com,52-1466009,Y,
102,08-6309145,Florance Bellocht,Outdoor Equipment,,205,Card,10,$734.61 ,9/14/2021 15:41,Slovenia,Kočevje,ebay.com,03-9036357,Y,
103,36-3892652,Dalila Lars,Entertainment,Board Game,505,UPI,10,$257.51 ,8/28/2021 4:29,Nepal,Dailekh,amazon.com,25-4641548,Y,
104,01-6411470,Niel McInteer,Entertainment,Board Game,505,Card,4,$105.67 ,12/18/2021 21:29,Guinea,Koubia,ebay.com,52-4030469,Y,
105,81-3146993,Eldridge McIllroy,Clothing,Tie,404,UPI,9,$186.52 ,10/16/2021 17:32,Togo,Lomé,walmart.com,16-0574542,Y,
106,61-2812727,Wileen Halbord,Baby Products,Pacifier,905,Wallet,2,$7.95 ,7/29/2021 10:44,China,Binglincha,samsclub.com,42-2593917,N,Invalid Card Number
107,66-5655437,Ailis Menci,Electronics,TV,2,Card,6,"$2,826.77 ",1/25/2021 2:56,Norway,Fredrikstad,ebay.com,49-7849170,N,Insufficient Funds
108,64-2726240,Delly Bentjens,Electronics,Desktop,3,UPI,1,"$1,028.95 ",1/16/2021 3:42,China,Fengyang,costco.com,27-6236417,N,Insufficient Funds
109,76-1858957,Ronny MacGhee,Office Supplies,Folder,104,UPI,8,$16.54 ,4/21/2021 14:31,Greece,Kallithéa,alibaba.com,80-9867581,Y,
110,91-2651333,Kendell Hamnett,Health & Beauty,Toothpaste,804,Wallet,6,$25.88 ,4/11/2021 21:04,Liberia,Gbarnga,target.com,,Y,
111,58-1220781,Waylon Ciepluch,Automotive,Windshield Washer Fluid,602,Internet Banking,4,$25.97 ,9/14/2021 8:09,Russia,Trudovoye,ebay.com,59-8483087,Y,
112,83-6339119,Meryl Vanderplas,Clothing,Suit Jacket,403,Wallet,4,$257.89 ,1/31/2021 22:54,China,Datangzhuang,target.com,08-7118038,Y,
113,77-1939952,Freida Gavey,Electronics,Tablet,4,Card,-7,"$2,450.56 ",5/11/2021 6:49,Slovenia,Solkan,ebay.com,98-5352239,Y,
114,68-1252859,Alleyn Ducroe,Electronics,Laptop,1,Card,4,"$1,278.42 ",9/4/2021 13:10,Finland,Sodankylä,alibaba.com,15-9829059,Y,
115,87-5763779,Pennie Yukhnini,Grocery,Gallon of Milk,302,Wallet,6,$22.59 ,8/9/2021 6:25,Czech Republic,Dobroměřice,walmart.com,36-2054732,Y,
116,57-6098489,Amalee Callaghan,Automotive,Engine Oil,601,Internet Banking,4,$25.31 ,1/4/2021 8:04,Japan,Sendai-shi,walmart.com,81-5733779,Y,
117,61-9126555,Andreas Pedrazzi,Office Supplies,Stapler,103,Wallet,2,$18.56 ,5/13/2021 21:27,Brazil,Guaratinguetá,samsclub.com,91-8363634,Y,
118,54-6345431,Toinette Puckey,Grocery,Shredded Cheese,304,Internet Banking,7,$29.11 ,7/27/2021 12:09,Brazil,Natividade,samsclub.com,61-5833915,Y,
119,43-8840197,Keelby Rimmer,Electronics,Desktop,3,Internet Banking,3,"$3,384.17 ",1/29/2021 21:33,Indonesia,Bamban,alibaba.com,46-6098933,Y,
120,64-3924025,Richmound Flook,Home Goods,Bath Towels,703,Internet Banking,8,$120.45 ,10/31/2021 10:43,Russia,Trudobelikovskiy,alibaba.com,12-9601926,Y,
121,10-8739592,Jennine Bonnick,Automotive,Power Steering Fluid,603,Card,3,$18.43 ,7/27/2021 19:21,Kenya,Meru,costco.com,13-1808120,Y,
122,44-9233202,Grove Umfrey,Health & Beauty,Daily Multi-Vitamins,805,Card,4,$61.33 ,7/31/2021 19:07,Madagascar,Manakara,ebay.com,66-6463312,Y,
123,84-4511280,,Baby Products,Baby food,403,Wallet,1,$4.57 ,2/9/2021 6:34,Ethiopia,Jinka,alibaba.com,58-5310460,Y,
124,83-8918941,Frankie Rumbellow,Home Goods,Blankets,702,Wallet,1,$18.96 ,6/1/2021 4:36,Japan,Iizuka,ebay.com,80-3365884,Y,
125,89-2192740,Brendon Jodkowski,Electronics,TV,2,Internet Banking,6,"$3,188.73 ",6/11/2021 13:59,Colombia,La Dorada,walmart.com,85-6197937,Y,
126,64-4428987,Guillaume Kearns,Health & Beauty,Face Lotion,801,Wallet,8,$50.33 ,11/29/2021 23:51,China,Xinzhou,walmart.com,83-8106575,N,Invalid Expiration Date
127,52-9937422,Lyndel Coal,Health & Beauty,Face Lotion,801,UPI,10,$64.25 ,11/29/2021 0:02,Ukraine,Novoukrayinka,amazon.com,65-9660451,Y,
128,07-6720070,Paulina Jenik,Home Goods,Storage Container,704,Internet Banking,4,$39.67 ,9/14/2021 16:55,Somalia,Jilib,ebay.com,60-1527076,N,Invalid Billing Address
129,90-8624312,Kathye Rany,Health & Beauty,Deodorant,803,Wallet,6,$18.32 ,3/25/2021 13:17,Portugal,Alburitel,walmart.com,45-0435293,Y,
130,90-6756985,Oralle Shenley,Outdoor Equipment,Hatchet,203,UPI,9,$197.79 ,9/7/2021 5:31,France,Nîmes,samsclub.com,75-5944157,Y,
131,98-5960926,Gianna Cordobes,Automotive,Antifreeze,604,Internet Banking,9,$73.45 ,12/16/2021 4:46,Syria,Al Mayādīn,amazon.com,32-2187843,Y,
132,77-3861281,Tiffy Karmel,Baby Products,Baby Wipes,904,UPI,4,$29.31 ,10/31/2021 19:51,China,Liuliping,samsclub.com,63-8274178,Y,
133,78-2036680,Nevsa Boulding,Clothing,Dress Shirt,401,Wallet,3,$78.64 ,6/6/2021 0:20,,Anka,costco.com,81-1743488,Y,
134,19-1357349,Shantee Muschette,Home Goods,Candles,701,Wallet,3,$34.21 ,8/2/2021 2:34,Ukraine,Rokytne,amazon.com,85-1475985,Y,
135,29-8994747,Jamie Curuclis,Home Goods,Storage Container,704,Card,10,$100.66 ,5/26/2021 21:04,Indonesia,Cipanggung,alibaba.com,90-2318706,Y,
136,63-7992566,Marianna Hambric,Office Supplies,Binder,105,Card,10,$34.16 ,1/10/2021 0:26,Indonesia,Sukamanah,target.com,22-8283494,Y,
137,69-2567244,Liza Ellesworthe,Clothing,Shoes,405,Internet Banking,4,$168.61 ,2/18/2021 13:27,Indonesia,Bakau,walmart.com,10-8157925,Y,
138,88-1775388,Ky Tait,Outdoor Equipment,Baseball Bat,201,Wallet,1,$46.88 ,10/6/2021 3:06,Russia,Shatrovo,amazon.com,43-8368476,Y,
139,42-4859003,Oralla Dominey,Baby Products,Pacifier,905,Internet Banking,2,$7.43 ,7/27/2021 16:05,Russia,Amga,ebay.com,55-9271797,Y,
140,46-0340358,Dawn Bathoe,Clothing,Dress Shirt,401,UPI,7,$174.97 ,8/8/2021 5:02,Russia,Izhmorskiy,alibaba.com,80-2482281,Y,
141,79-3349990,Devin Joyner,Baby Products,Stroller,903,Wallet,2,$123.85 ,5/5/2021 8:36,Colombia,Dos Quebradas,target.com,54-4515542,Y,
142,26-7462760,Peggi Wones,Baby Products,Baby Wipes,904,Card,1,$5.66 ,10/19/2021 11:41,Philippines,Silongin,ebay.com,62-4340416,Y,
143,18-2385266,Tomlin Olivari,Health & Beauty,Deodorant,803,UPI,5,$17.95 ,3/24/2021 9:16,France,Albi,alibaba.com,99-2962833,Y,
144,87-2438022,Annmaria Derisly,Office Supplies,Stapler,103,Internet Banking,5,$43.45 ,3/31/2021 21:57,Philippines,Pitogo,alibaba.com,86-2189362,N,Invalid Billing Address
145,15-1237317,Marna Temple,Automotive,Floor Mat,605,Wallet,6,$117.32 ,2021-13-14 7:28:19,China,Wantan,alibaba.com,08-0747111,N,Invalid Billing Address
146,03-4528012,Karlen Gerrit,Outdoor Equipment,Tent,205,UPI,6,$460.34 ,12/21/2021 6:27,China,Tiandiba,costco.com,19-9690698,Y,
147,81-2996723,Stinky Kuschek,Outdoor Equipment,Gardening Shovel,202,UPI,3,$118.53 ,8/4/2021 23:48,Philippines,Pajo,walmart.com,81-1844622,Y,
148,48-5594606,Michele Grishin,Automotive,Floor Mat,605,UPI,7,$133.78 ,3/6/2021 9:04,Brazil,Monte Mor,target.com,00-0045215,Y,
149,47-8090755,Reggie Luckcuck,Outdoor Equipment,Hatchet,203,Card,3,$67.45 ,4/28/2021 0:48,Indonesia,Gereneng,ebay.com,62-4489964,Y,
150,68-5642339,Anthony Bastone,Outdoor Equipment,Tent,205,UPI,7,$511.23 ,1/29/2021 1:49,Portugal,Santo António das Areias,walmart.com,00-0987322,N,Invalid Card Number
151,68-1537999,Jared Vest,Health & Beauty,Toothpaste,804,Card,4,$13.04 ,10/8/2021 12:06,China,Bieligutai,amazon.com,82-6181039,N,Invalid CVV
152,38-1249222,Valida Bardill,Automotive,Floor Mat,605,Card,1,$18.99 ,2/14/2021 14:36,Sweden,Staffanstorp,walmart.com,04-3282871,Y,
153,03-1273095,Darleen Tidcomb,Electronics,Tablet,4,UPI,3,"$1,000.15 ",8/18/2021 8:30,Colombia,San José de Miranda,ebay.com,31-5829068,Y,Insufficient Funds
154,11-0801735,Rodrick Roset,Office Supplies,Stapler,103,Card,2,$19.72 ,8/5/2021 4:49,China,Pu’er,samsclub.com,16-1062973,N,Invalid Billing Address
155,70-2327335,Janot Tettley,Baby Products,Baby Wipes,904,Internet Banking,10,$89.33 ,5/10/2021 14:24,Aland Islands,Geta,samsclub.com,83-0372264,Y,
156,09-3878460,Tim Tompkiss,Health & Beauty,Deodorant,803,Internet Banking,5,$16.25 ,10/29/2021 15:03,Armenia,Ararat,amazon.com,26-3871340,N,Invalid Billing Address
157,59-2742861,Sauncho Feeney,Health & Beauty,Shampoo,802,UPI,3,($13.21),4/26/2021 9:27,Albania,Rrapë,samsclub.com,05-9390575,Y,
158,94-0950459,Olympe Buckbee,Health & Beauty,Toothpaste,804,Wallet,8,$26.88 ,5/31/2021 23:56,United States,Springfield,ebay.com,03-2736282,Y,
159,87-7953148,Lilith Gilson,Electronics,Desktop,3,Wallet,4,"$4,321.82 ",12/6/2021 12:54,Iran,Dargaz,alibaba.com,59-2494582,Y,
160,13-3623595,Zitella O' Shea,Grocery,Chicken Breast,301,Wallet,1,$4.67 ,7/17/2021 7:44,Indonesia,Padaan,amazon.com,25-8890666,Y,
161,25-9631061,Selby Martugin,Automotive,Power Steering Fluid,603,Internet Banking,10,$94.11 ,7/27/2021 19:46,China,Sanjie,walmart.com,68-6946845,Y,
